"Statistic","Year","County","Dwelling Status","Stamp Duty Event","Type of Buyer","Type of Sale","UNIT","VALUE"
"Volume of Sales","2011","Louth","New","Filings","Household Buyer - All","All Sale Types","Number","92"
"Volume of Sales","2011","Louth","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","51"
"Volume of Sales","2011","Louth","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","27"
"Volume of Sales","2011","Louth","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","14"
"Volume of Sales","2011","Louth","New","Filings","Non-Household Buyer","All Sale Types","Number","10"
"Volume of Sales","2011","Louth","New","Executions","Household Buyer - All","All Sale Types","Number","66"
"Volume of Sales","2011","Louth","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","36"
"Volume of Sales","2011","Louth","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","23"
"Volume of Sales","2011","Louth","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","7"
"Volume of Sales","2011","Louth","New","Executions","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2011","Louth","Existing","Filings","Household Buyer - All","All Sale Types","Number","553"
"Volume of Sales","2011","Louth","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","157"
"Volume of Sales","2011","Louth","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","269"
"Volume of Sales","2011","Louth","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","127"
"Volume of Sales","2011","Louth","Existing","Filings","Non-Household Buyer","All Sale Types","Number","28"
"Volume of Sales","2011","Louth","Existing","Executions","Household Buyer - All","All Sale Types","Number","498"
"Volume of Sales","2011","Louth","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","113"
"Volume of Sales","2011","Louth","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","271"
"Volume of Sales","2011","Louth","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","114"
"Volume of Sales","2011","Louth","Existing","Executions","Non-Household Buyer","All Sale Types","Number","26"
"Volume of Sales","2011","Meath","New","Filings","Household Buyer - All","All Sale Types","Number","214"
"Volume of Sales","2011","Meath","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","119"
"Volume of Sales","2011","Meath","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","59"
"Volume of Sales","2011","Meath","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","36"
"Volume of Sales","2011","Meath","New","Filings","Non-Household Buyer","All Sale Types","Number","23"
"Volume of Sales","2011","Meath","New","Executions","Household Buyer - All","All Sale Types","Number","131"
"Volume of Sales","2011","Meath","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","70"
"Volume of Sales","2011","Meath","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","45"
"Volume of Sales","2011","Meath","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","16"
"Volume of Sales","2011","Meath","New","Executions","Non-Household Buyer","All Sale Types","Number","20"
"Volume of Sales","2011","Meath","Existing","Filings","Household Buyer - All","All Sale Types","Number","691"
"Volume of Sales","2011","Meath","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","206"
"Volume of Sales","2011","Meath","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","400"
"Volume of Sales","2011","Meath","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","85"
"Volume of Sales","2011","Meath","Existing","Filings","Non-Household Buyer","All Sale Types","Number","13"
"Volume of Sales","2011","Meath","Existing","Executions","Household Buyer - All","All Sale Types","Number","634"
"Volume of Sales","2011","Meath","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","158"
"Volume of Sales","2011","Meath","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","405"
"Volume of Sales","2011","Meath","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","71"
"Volume of Sales","2011","Meath","Existing","Executions","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2011","Offaly","New","Filings","Household Buyer - All","All Sale Types","Number","44"
"Volume of Sales","2011","Offaly","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","24"
"Volume of Sales","2011","Offaly","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","14"
"Volume of Sales","2011","Offaly","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","6"
"Volume of Sales","2011","Offaly","New","Filings","Non-Household Buyer","All Sale Types","Number","7"
"Volume of Sales","2011","Offaly","New","Executions","Household Buyer - All","All Sale Types","Number","32"
"Volume of Sales","2011","Offaly","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","19"
"Volume of Sales","2011","Offaly","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","7"
"Volume of Sales","2011","Offaly","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","6"
"Volume of Sales","2011","Offaly","New","Executions","Non-Household Buyer","All Sale Types","Number","7"
"Volume of Sales","2011","Offaly","Existing","Filings","Household Buyer - All","All Sale Types","Number","275"
"Volume of Sales","2011","Offaly","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","76"
"Volume of Sales","2011","Offaly","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","139"
"Volume of Sales","2011","Offaly","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","60"
"Volume of Sales","2011","Offaly","Existing","Filings","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2011","Offaly","Existing","Executions","Household Buyer - All","All Sale Types","Number","229"
"Volume of Sales","2011","Offaly","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","57"
"Volume of Sales","2011","Offaly","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","122"
"Volume of Sales","2011","Offaly","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","50"
"Volume of Sales","2011","Offaly","Existing","Executions","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2011","Westmeath","New","Filings","Household Buyer - All","All Sale Types","Number","109"
"Volume of Sales","2011","Westmeath","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","45"
"Volume of Sales","2011","Westmeath","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","30"
"Volume of Sales","2011","Westmeath","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","34"
"Volume of Sales","2011","Westmeath","New","Filings","Non-Household Buyer","All Sale Types","Number","14"
"Volume of Sales","2011","Westmeath","New","Executions","Household Buyer - All","All Sale Types","Number","98"
"Volume of Sales","2011","Westmeath","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","40"
"Volume of Sales","2011","Westmeath","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","23"
"Volume of Sales","2011","Westmeath","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","35"
"Volume of Sales","2011","Westmeath","New","Executions","Non-Household Buyer","All Sale Types","Number","11"
"Volume of Sales","2011","Westmeath","Existing","Filings","Household Buyer - All","All Sale Types","Number","365"
"Volume of Sales","2011","Westmeath","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","83"
"Volume of Sales","2011","Westmeath","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","188"
"Volume of Sales","2011","Westmeath","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","94"
"Volume of Sales","2011","Westmeath","Existing","Filings","Non-Household Buyer","All Sale Types","Number","18"
"Volume of Sales","2011","Westmeath","Existing","Executions","Household Buyer - All","All Sale Types","Number","345"
"Volume of Sales","2011","Westmeath","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","67"
"Volume of Sales","2011","Westmeath","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","184"
"Volume of Sales","2011","Westmeath","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","94"
"Volume of Sales","2011","Westmeath","Existing","Executions","Non-Household Buyer","All Sale Types","Number","21"
"Volume of Sales","2011","Wexford","New","Filings","Household Buyer - All","All Sale Types","Number","118"
"Volume of Sales","2011","Wexford","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","40"
"Volume of Sales","2011","Wexford","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","57"
"Volume of Sales","2011","Wexford","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","21"
"Volume of Sales","2011","Wexford","New","Filings","Non-Household Buyer","All Sale Types","Number","9"
"Volume of Sales","2011","Wexford","New","Executions","Household Buyer - All","All Sale Types","Number","95"
"Volume of Sales","2011","Wexford","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","34"
"Volume of Sales","2011","Wexford","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2011","Wexford","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","19"
"Volume of Sales","2011","Wexford","New","Executions","Non-Household Buyer","All Sale Types","Number","10"
"Volume of Sales","2011","Wexford","Existing","Filings","Household Buyer - All","All Sale Types","Number","755"
"Volume of Sales","2011","Wexford","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","110"
"Volume of Sales","2011","Wexford","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","406"
"Volume of Sales","2011","Wexford","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","239"
"Volume of Sales","2011","Wexford","Existing","Filings","Non-Household Buyer","All Sale Types","Number","20"
"Volume of Sales","2011","Wexford","Existing","Executions","Household Buyer - All","All Sale Types","Number","688"
"Volume of Sales","2011","Wexford","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","85"
"Volume of Sales","2011","Wexford","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","383"
"Volume of Sales","2011","Wexford","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","220"
"Volume of Sales","2011","Wexford","Existing","Executions","Non-Household Buyer","All Sale Types","Number","11"
"Volume of Sales","2011","Wicklow","New","Filings","Household Buyer - All","All Sale Types","Number","113"
"Volume of Sales","2011","Wicklow","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","46"
"Volume of Sales","2011","Wicklow","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","50"
"Volume of Sales","2011","Wicklow","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","17"
"Volume of Sales","2011","Wicklow","New","Filings","Non-Household Buyer","All Sale Types","Number","6"
"Volume of Sales","2011","Wicklow","New","Executions","Household Buyer - All","All Sale Types","Number","75"
"Volume of Sales","2011","Wicklow","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","32"
"Volume of Sales","2011","Wicklow","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","35"
"Volume of Sales","2011","Wicklow","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","8"
"Volume of Sales","2011","Wicklow","New","Executions","Non-Household Buyer","All Sale Types","Number","6"
"Volume of Sales","2011","Wicklow","Existing","Filings","Household Buyer - All","All Sale Types","Number","762"
"Volume of Sales","2011","Wicklow","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","183"
"Volume of Sales","2011","Wicklow","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","409"
"Volume of Sales","2011","Wicklow","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","170"
"Volume of Sales","2011","Wicklow","Existing","Filings","Non-Household Buyer","All Sale Types","Number","10"
"Volume of Sales","2011","Wicklow","Existing","Executions","Household Buyer - All","All Sale Types","Number","676"
"Volume of Sales","2011","Wicklow","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","156"
"Volume of Sales","2011","Wicklow","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","379"
"Volume of Sales","2011","Wicklow","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","141"
"Volume of Sales","2011","Wicklow","Existing","Executions","Non-Household Buyer","All Sale Types","Number","47"
"Volume of Sales","2011","Clare","New","Filings","Household Buyer - All","All Sale Types","Number","87"
"Volume of Sales","2011","Clare","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","30"
"Volume of Sales","2011","Clare","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","28"
"Volume of Sales","2011","Clare","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","29"
"Volume of Sales","2011","Clare","New","Filings","Non-Household Buyer","All Sale Types","Number","4"
"Volume of Sales","2011","Clare","New","Executions","Household Buyer - All","All Sale Types","Number","55"
"Volume of Sales","2011","Clare","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","17"
"Volume of Sales","2011","Clare","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","20"
"Volume of Sales","2011","Clare","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","18"
"Volume of Sales","2011","Clare","New","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2011","Clare","Existing","Filings","Household Buyer - All","All Sale Types","Number","592"
"Volume of Sales","2011","Clare","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","125"
"Volume of Sales","2011","Clare","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","278"
"Volume of Sales","2011","Clare","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","189"
"Volume of Sales","2011","Clare","Existing","Filings","Non-Household Buyer","All Sale Types","Number","15"
"Volume of Sales","2011","Clare","Existing","Executions","Household Buyer - All","All Sale Types","Number","514"
"Volume of Sales","2011","Clare","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","100"
"Volume of Sales","2011","Clare","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","252"
"Volume of Sales","2011","Clare","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","162"
"Volume of Sales","2011","Clare","Existing","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2011","Cork","New","Filings","Household Buyer - All","All Sale Types","Number","464"
"Volume of Sales","2011","Cork","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","216"
"Volume of Sales","2011","Cork","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","143"
"Volume of Sales","2011","Cork","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","105"
"Volume of Sales","2011","Cork","New","Filings","Non-Household Buyer","All Sale Types","Number","53"
"Volume of Sales","2011","Cork","New","Executions","Household Buyer - All","All Sale Types","Number","312"
"Volume of Sales","2011","Cork","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","147"
"Volume of Sales","2011","Cork","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","106"
"Volume of Sales","2011","Cork","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","59"
"Volume of Sales","2011","Cork","New","Executions","Non-Household Buyer","All Sale Types","Number","69"
"Volume of Sales","2011","Cork","Existing","Filings","Household Buyer - All","All Sale Types","Number","2598"
"Volume of Sales","2011","Cork","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","722"
"Volume of Sales","2011","Cork","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","1239"
"Volume of Sales","2011","Cork","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","637"
"Volume of Sales","2011","Cork","Existing","Filings","Non-Household Buyer","All Sale Types","Number","83"
"Volume of Sales","2011","Cork","Existing","Executions","Household Buyer - All","All Sale Types","Number","2373"
"Volume of Sales","2011","Cork","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","592"
"Volume of Sales","2011","Cork","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","1193"
"Volume of Sales","2011","Cork","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","588"
"Volume of Sales","2011","Cork","Existing","Executions","Non-Household Buyer","All Sale Types","Number","91"
"Volume of Sales","2011","Kerry","New","Filings","Household Buyer - All","All Sale Types","Number","146"
"Volume of Sales","2011","Kerry","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","43"
"Volume of Sales","2011","Kerry","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","41"
"Volume of Sales","2011","Kerry","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","62"
"Volume of Sales","2011","Kerry","New","Filings","Non-Household Buyer","All Sale Types","Number","3"
"Volume of Sales","2011","Kerry","New","Executions","Household Buyer - All","All Sale Types","Number","97"
"Volume of Sales","2011","Kerry","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","31"
"Volume of Sales","2011","Kerry","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","31"
"Volume of Sales","2011","Kerry","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","35"
"Volume of Sales","2011","Kerry","New","Executions","Non-Household Buyer","All Sale Types","Number","2"
"Volume of Sales","2011","Kerry","Existing","Filings","Household Buyer - All","All Sale Types","Number","800"
"Volume of Sales","2011","Kerry","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","147"
"Volume of Sales","2011","Kerry","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","365"
"Volume of Sales","2011","Kerry","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","288"
"Volume of Sales","2011","Kerry","Existing","Filings","Non-Household Buyer","All Sale Types","Number","26"
"Volume of Sales","2011","Kerry","Existing","Executions","Household Buyer - All","All Sale Types","Number","728"
"Volume of Sales","2011","Kerry","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","127"
"Volume of Sales","2011","Kerry","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","337"
"Volume of Sales","2011","Kerry","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","264"
"Volume of Sales","2011","Kerry","Existing","Executions","Non-Household Buyer","All Sale Types","Number","26"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - All","All Sale Types","Number","176"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","66"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2011","Limerick","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","68"
"Volume of Sales","2011","Limerick","New","Filings","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - All","All Sale Types","Number","109"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","42"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","30"
"Volume of Sales","2011","Limerick","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","37"
"Volume of Sales","2011","Limerick","New","Executions","Non-Household Buyer","All Sale Types","Number","5"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - All","All Sale Types","Number","904"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","201"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","478"
"Volume of Sales","2011","Limerick","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","225"
"Volume of Sales","2011","Limerick","Existing","Filings","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - All","All Sale Types","Number","827"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","177"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","447"
"Volume of Sales","2011","Limerick","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","203"
"Volume of Sales","2011","Limerick","Existing","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2011","Tipperary","New","Filings","Household Buyer - All","All Sale Types","Number","152"
"Volume of Sales","2011","Tipperary","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","60"
"Volume of Sales","2011","Tipperary","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","57"
"Volume of Sales","2011","Tipperary","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","35"
"Volume of Sales","2011","Tipperary","New","Filings","Non-Household Buyer","All Sale Types","Number","27"
"Volume of Sales","2011","Tipperary","New","Executions","Household Buyer - All","All Sale Types","Number","78"
"Volume of Sales","2011","Tipperary","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","34"
"Volume of Sales","2011","Tipperary","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","31"
"Volume of Sales","2011","Tipperary","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","13"
"Volume of Sales","2011","Tipperary","New","Executions","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2011","Tipperary","Existing","Filings","Household Buyer - All","All Sale Types","Number","613"
"Volume of Sales","2011","Tipperary","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","135"
"Volume of Sales","2011","Tipperary","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","334"
"Volume of Sales","2011","Tipperary","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","144"
"Volume of Sales","2011","Tipperary","Existing","Filings","Non-Household Buyer","All Sale Types","Number","12"
"Volume of Sales","2011","Tipperary","Existing","Executions","Household Buyer - All","All Sale Types","Number","545"
"Volume of Sales","2011","Tipperary","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","106"
"Volume of Sales","2011","Tipperary","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","299"
"Volume of Sales","2011","Tipperary","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","140"
"Volume of Sales","2011","Tipperary","Existing","Executions","Non-Household Buyer","All Sale Types","Number","13"
"Volume of Sales","2011","Waterford","New","Filings","Household Buyer - All","All Sale Types","Number","80"
"Volume of Sales","2011","Waterford","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","19"
"Volume of Sales","2011","Waterford","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","20"
"Volume of Sales","2011","Waterford","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","41"
"Volume of Sales","2011","Waterford","New","Filings","Non-Household Buyer","All Sale Types","Number","19"
"Volume of Sales","2011","Waterford","New","Executions","Household Buyer - All","All Sale Types","Number","64"
"Volume of Sales","2011","Waterford","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","12"
"Volume of Sales","2011","Waterford","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","18"
"Volume of Sales","2011","Waterford","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","34"
"Volume of Sales","2011","Waterford","New","Executions","Non-Household Buyer","All Sale Types","Number","16"
"Volume of Sales","2011","Waterford","Existing","Filings","Household Buyer - All","All Sale Types","Number","606"
"Volume of Sales","2011","Waterford","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","125"
"Volume of Sales","2011","Waterford","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","314"
"Volume of Sales","2011","Waterford","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","167"
"Volume of Sales","2011","Waterford","Existing","Filings","Non-Household Buyer","All Sale Types","Number","20"
"Volume of Sales","2011","Waterford","Existing","Executions","Household Buyer - All","All Sale Types","Number","547"
"Volume of Sales","2011","Waterford","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","107"
"Volume of Sales","2011","Waterford","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","295"
"Volume of Sales","2011","Waterford","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","145"
"Volume of Sales","2011","Waterford","Existing","Executions","Non-Household Buyer","All Sale Types","Number","22"
"Volume of Sales","2011","Galway","New","Filings","Household Buyer - All","All Sale Types","Number","232"
"Volume of Sales","2011","Galway","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","75"
"Volume of Sales","2011","Galway","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","70"
"Volume of Sales","2011","Galway","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","87"
"Volume of Sales","2011","Galway","New","Filings","Non-Household Buyer","All Sale Types","Number","24"
"Volume of Sales","2011","Galway","New","Executions","Household Buyer - All","All Sale Types","Number","181"
"Volume of Sales","2011","Galway","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","59"
"Volume of Sales","2011","Galway","New","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","49"
"Volume of Sales","2011","Galway","New","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","73"
"Volume of Sales","2011","Galway","New","Executions","Non-Household Buyer","All Sale Types","Number","16"
"Volume of Sales","2011","Galway","Existing","Filings","Household Buyer - All","All Sale Types","Number","1100"
"Volume of Sales","2011","Galway","Existing","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","274"
"Volume of Sales","2011","Galway","Existing","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","502"
"Volume of Sales","2011","Galway","Existing","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","324"
"Volume of Sales","2011","Galway","Existing","Filings","Non-Household Buyer","All Sale Types","Number","41"
"Volume of Sales","2011","Galway","Existing","Executions","Household Buyer - All","All Sale Types","Number","1027"
"Volume of Sales","2011","Galway","Existing","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","237"
"Volume of Sales","2011","Galway","Existing","Executions","Household Buyer - Former Owner-Occupier","All Sale Types","Number","490"
"Volume of Sales","2011","Galway","Existing","Executions","Household Buyer - Non-Occupier","All Sale Types","Number","300"
"Volume of Sales","2011","Galway","Existing","Executions","Non-Household Buyer","All Sale Types","Number","38"
"Volume of Sales","2011","Leitrim","New","Filings","Household Buyer - All","All Sale Types","Number","72"
"Volume of Sales","2011","Leitrim","New","Filings","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","22"
"Volume of Sales","2011","Leitrim","New","Filings","Household Buyer - Former Owner-Occupier","All Sale Types","Number","25"
"Volume of Sales","2011","Leitrim","New","Filings","Household Buyer - Non-Occupier","All Sale Types","Number","25"
"Volume of Sales","2011","Leitrim","New","Filings","Non-Household Buyer","All Sale Types","Number","6"
"Volume of Sales","2011","Leitrim","New","Executions","Household Buyer - All","All Sale Types","Number","52"
"Volume of Sales","2011","Leitrim","New","Executions","Household Buyer - First-Time Buyer Owner-Occupier","All Sale Types","Number","15"
